Lab. Time (s)	Magn. Field (mT)	Outp. Curr. (A)	Outp. Volt. (V)	Channel A	Channel B	(A-B)/(A+B)
0.000000	-27.900000	-0.400000	-0.140000	706907.000000	710599.000000	-0.002605
15.000000	-27.600000	-0.396000	-0.130000	702927.000000	709586.000000	-0.004714
18.000000	-27.300000	-0.392000	-0.130000	701207.000000	706735.000000	-0.003926
22.000000	-27.100000	-0.388000	-0.130000	701589.000000	707968.000000	-0.004526
25.000000	-26.800000	-0.384000	-0.130000	697659.000000	703376.000000	-0.004081
28.000000	-26.500000	-0.380000	-0.130000	700970.000000	706425.000000	-0.003876
31.000000	-26.200000	-0.376000	-0.130000	702905.000000	710284.000000	-0.005222
35.000000	-26.000000	-0.372000	-0.130000	693872.000000	699628.000000	-0.004131
38.000000	-25.700000	-0.368000	-0.130000	702529.000000	709144.000000	-0.004686
41.000000	-25.400000	-0.364000	-0.130000	706240.000000	710557.000000	-0.003047
44.000000	-25.100000	-0.360000	-0.130000	702910.000000	709538.000000	-0.004693
48.000000	-24.800000	-0.356000	-0.130000	701480.000000	706261.000000	-0.003396
51.000000	-24.600000	-0.352000	-0.130000	703203.000000	709226.000000	-0.004264
54.000000	-24.300000	-0.348000	-0.130000	704099.000000	708296.000000	-0.002972
57.000000	-24.000000	-0.344000	-0.130000	700441.000000	708303.000000	-0.005581
61.000000	-23.700000	-0.340000	-0.130000	704386.000000	708533.000000	-0.002935
64.000000	-23.400000	-0.336000	-0.130000	697346.000000	703139.000000	-0.004136
67.000000	-23.200000	-0.332000	-0.130000	698361.000000	703657.000000	-0.003777
70.000000	-22.900000	-0.328000	-0.130000	703181.000000	706883.000000	-0.002625
74.000000	-22.600000	-0.324000	-0.120000	701515.000000	707384.000000	-0.004166
77.000000	-22.300000	-0.320000	-0.120000	700148.000000	703671.000000	-0.002510
80.000000	-22.000000	-0.316000	-0.120000	701422.000000	705999.000000	-0.003252
83.000000	-21.800000	-0.312000	-0.130000	703270.000000	707636.000000	-0.003094
87.000000	-21.500000	-0.308000	-0.120000	703988.000000	709115.000000	-0.003628
90.000000	-21.200000	-0.304000	-0.120000	704591.000000	709975.000000	-0.003806
93.000000	-20.900000	-0.300000	-0.130000	702258.000000	705336.000000	-0.002187
96.000000	-20.700000	-0.296000	-0.120000	701099.000000	706958.000000	-0.004161
100.000000	-20.400000	-0.292000	-0.120000	702284.000000	707834.000000	-0.003936
103.000000	-20.100000	-0.288000	-0.120000	701414.000000	705062.000000	-0.002594
106.000000	-19.800000	-0.284000	-0.120000	697372.000000	701392.000000	-0.002874
109.000000	-19.500000	-0.280000	-0.130000	694895.000000	699128.000000	-0.003037
113.000000	-19.300000	-0.276000	-0.120000	698936.000000	703258.000000	-0.003082
116.000000	-19.000000	-0.272000	-0.120000	702780.000000	706007.000000	-0.002291
119.000000	-18.700000	-0.268000	-0.120000	702764.000000	707108.000000	-0.003081
122.000000	-18.400000	-0.264000	-0.120000	707965.000000	710320.000000	-0.001660
126.000000	-18.100000	-0.260000	-0.120000	698356.000000	700891.000000	-0.001812
129.000000	-17.900000	-0.256000	-0.120000	694892.000000	699422.000000	-0.003249
132.000000	-17.600000	-0.252000	-0.120000	699964.000000	702646.000000	-0.001912
135.000000	-17.300000	-0.248000	-0.120000	699076.000000	701822.000000	-0.001960
139.000000	-17.000000	-0.244000	-0.120000	703400.000000	705026.000000	-0.001154
142.000000	-16.700000	-0.240000	-0.120000	705064.000000	708112.000000	-0.002157
145.000000	-16.500000	-0.236000	-0.120000	703601.000000	706165.000000	-0.001819
148.000000	-16.200000	-0.232000	-0.120000	705929.000000	706658.000000	-0.000516
152.000000	-15.900000	-0.228000	-0.120000	703497.000000	705751.000000	-0.001599
155.000000	-15.600000	-0.224000	-0.120000	699130.000000	701081.000000	-0.001393
158.000000	-15.300000	-0.220000	-0.120000	698281.000000	701101.000000	-0.002015
161.000000	-15.100000	-0.216000	-0.120000	698133.000000	700674.000000	-0.001817
165.000000	-14.800000	-0.212000	-0.120000	705198.000000	706664.000000	-0.001038
168.000000	-14.500000	-0.208000	-0.120000	704999.000000	705898.000000	-0.000637
171.000000	-14.200000	-0.204000	-0.120000	698881.000000	700217.000000	-0.000955
174.000000	-14.000000	-0.200000	-0.120000	706770.000000	706848.000000	-0.000055
178.000000	-13.700000	-0.196000	-0.120000	706367.000000	708101.000000	-0.001226
181.000000	-13.400000	-0.192000	-0.120000	709437.000000	709894.000000	-0.000322
184.000000	-13.100000	-0.188000	-0.120000	704026.000000	705858.000000	-0.001299
188.000000	-12.800000	-0.184000	-0.120000	698683.000000	699435.000000	-0.000538
191.000000	-12.600000	-0.180000	-0.120000	707163.000000	706545.000000	0.000437
194.000000	-12.300000	-0.176000	-0.120000	706549.000000	706140.000000	0.000290
197.000000	-12.000000	-0.172000	-0.120000	709639.000000	708183.000000	0.001027
200.000000	-11.700000	-0.168000	-0.120000	702643.000000	700395.000000	0.001602
204.000000	-11.400000	-0.164000	-0.120000	703200.000000	700133.000000	0.002186
207.000000	-11.200000	-0.160000	-0.120000	699040.000000	696643.000000	0.001717
210.000000	-10.900000	-0.156000	-0.120000	702462.000000	700648.000000	0.001293
213.000000	-10.600000	-0.152000	-0.120000	700955.000000	698135.000000	0.002016
217.000000	-10.300000	-0.148000	-0.120000	708518.000000	705211.000000	0.002339
220.000000	-10.000000	-0.144000	-0.120000	702867.000000	698031.000000	0.003452
223.000000	-9.800000	-0.140000	-0.120000	706856.000000	701556.000000	0.003763
226.000000	-9.500000	-0.136000	-0.120000	704953.000000	699121.000000	0.004154
230.000000	-9.200000	-0.132000	-0.120000	703053.000000	694932.000000	0.005809
233.000000	-8.900000	-0.128000	-0.120000	705473.000000	698913.000000	0.004671
236.000000	-8.700000	-0.124000	-0.120000	705814.000000	698496.000000	0.005211
239.000000	-8.400000	-0.120000	-0.120000	702735.000000	694120.000000	0.006167
243.000000	-8.100000	-0.116000	-0.120000	703086.000000	694430.000000	0.006194
246.000000	-7.800000	-0.112000	-0.120000	701828.000000	690721.000000	0.007976
249.000000	-7.500000	-0.108000	-0.120000	694185.000000	684703.000000	0.006877
252.000000	-7.300000	-0.104000	-0.120000	706552.000000	692336.000000	0.010162
256.000000	-7.000000	-0.100000	-0.120000	706884.000000	691816.000000	0.010773
259.000000	-6.700000	-0.096000	-0.120000	707430.000000	691784.000000	0.011182
262.000000	-6.400000	-0.092000	-0.120000	707027.000000	690684.000000	0.011693
265.000000	-6.100000	-0.088000	-0.120000	701500.000000	686745.000000	0.010629
269.000000	-5.900000	-0.084000	-0.120000	708595.000000	689459.000000	0.013688
272.000000	-5.600000	-0.080000	-0.120000	709993.000000	689226.000000	0.014842
275.000000	-5.300000	-0.076000	-0.120000	712735.000000	691808.000000	0.014900
278.000000	-5.000000	-0.072000	-0.120000	710576.000000	686740.000000	0.017058
282.000000	-4.700000	-0.068000	-0.120000	714603.000000	691441.000000	0.016473
285.000000	-4.500000	-0.064000	-0.120000	713989.000000	688909.000000	0.017877
288.000000	-4.200000	-0.060000	-0.120000	715074.000000	691854.000000	0.016504
291.000000	-3.900000	-0.056000	-0.120000	718367.000000	690944.000000	0.019458
295.000000	-3.600000	-0.052000	-0.120000	717152.000000	691296.000000	0.018358
298.000000	-3.300000	-0.048000	-0.120000	707173.000000	680599.000000	0.019149
301.000000	-3.100000	-0.044000	-0.120000	715337.000000	684288.000000	0.022184
304.000000	-2.800000	-0.040000	-0.120000	716051.000000	686954.000000	0.020739
308.000000	-2.500000	-0.036000	-0.120000	717652.000000	688374.000000	0.020823
311.000000	-2.200000	-0.032000	-0.120000	713811.000000	683555.000000	0.021652
314.000000	-2.000000	-0.028000	-0.120000	716524.000000	685504.000000	0.022125
317.000000	-1.700000	-0.024000	-0.120000	716462.000000	685881.000000	0.021807
321.000000	-1.400000	-0.020000	-0.120000	713295.000000	683480.000000	0.021346
324.000000	-1.100000	-0.016000	-0.120000	720447.000000	691153.000000	0.020752
327.000000	-0.800000	-0.012000	-0.120000	720156.000000	687941.000000	0.022878
330.000000	-0.600000	-0.008000	-0.120000	718356.000000	685537.000000	0.023377
334.000000	-0.300000	-0.004000	-0.120000	714921.000000	684645.000000	0.021632
337.000000	0.000000	0.000000	-0.120000	716461.000000	684579.000000	0.022756
340.000000	0.300000	0.004000	-0.120000	712566.000000	679947.000000	0.023425
343.000000	0.600000	0.008000	-0.120000	714181.000000	681083.000000	0.023722
347.000000	0.800000	0.012000	-0.120000	713461.000000	678735.000000	0.024943
350.000000	1.100000	0.016000	-0.120000	715250.000000	677946.000000	0.026776
353.000000	1.400000	0.020000	-0.120000	718242.000000	680967.000000	0.026640
356.000000	1.700000	0.024000	-0.120000	713625.000000	676797.000000	0.026487
360.000000	2.000000	0.028000	-0.120000	719197.000000	683894.000000	0.025161
363.000000	2.200000	0.032000	-0.120000	714631.000000	679067.000000	0.025518
366.000000	2.500000	0.036000	-0.120000	715441.000000	682998.000000	0.023199
369.000000	2.800000	0.040000	-0.120000	713049.000000	680351.000000	0.023466
373.000000	3.100000	0.044000	-0.120000	713155.000000	681938.000000	0.022376
376.000000	3.300000	0.048000	-0.120000	713281.000000	681052.000000	0.023114
379.000000	3.600000	0.052000	-0.120000	713491.000000	682265.000000	0.022372
382.000000	3.900000	0.056000	-0.120000	715710.000000	684904.000000	0.021995
386.000000	4.200000	0.060000	-0.120000	717937.000000	687537.000000	0.021630
389.000000	4.500000	0.064000	-0.120000	713262.000000	685009.000000	0.020206
392.000000	4.700000	0.068000	-0.120000	709425.000000	681324.000000	0.020206
395.000000	5.000000	0.072000	-0.120000	712006.000000	682354.000000	0.021266
399.000000	5.300000	0.076000	-0.120000	708053.000000	681164.000000	0.019356
402.000000	5.600000	0.080000	-0.120000	709423.000000	682021.000000	0.019693
405.000000	5.900000	0.084000	-0.120000	706211.000000	682136.000000	0.017341
408.000000	6.100000	0.088000	-0.120000	707898.000000	683237.000000	0.017727
